dimension,pds_score
10,1.4201784195865013
10,1.3087387300616762
10,1.6394291663895446
10,1.6097267024115705
10,1.4213463763541554
10,1.5762866938930817
10,1.4777405801165173
11,1.7067795634188365
11,1.7081706639032932
11,1.7548181692944678
11,1.6656954413591445
11,1.440448867501069
12,1.59442390577005
12,1.5645691639625272
12,1.694121659414113
12,1.5589968320073722
12,1.6465656996416156
12,1.7997218183288535
13,1.5508618252241004
13,1.817524177135228
13,1.6913993486511858
13,1.5226650096332908
14,1.862984711935029
14,1.886522979585268
14,1.8009832857687729
14,1.7422121268696666
14,1.7488194373816448
15,1.7617034342826892
15,1.4936593126086064
15,1.6791632339870985
15,1.7812041352229833
16,1.8721933403275044
16,1.7182274718961197
16,1.8407252434458592
16,1.9114924140042915
17,1.9560286926357495
17,1.910844558150276
17,1.9173212698295554
17,1.8736625255792996
18,1.8078400450206762
18,1.9428177068444303
18,1.6564535744749564
19,2.01725196516612
19,1.8944856042817573
19,1.564906734841656
19,1.9062740984316022
20,1.975976771386632
20,1.8110470433505166
20,1.9006197780517282
21,1.9629065108675026
21,2.0139414288617687
21,1.955728872707149
22,1.789422132876713
22,1.9754829458291225
22,2.026129167472445
23,1.8361158885560014
23,2.059637083560614
24,1.8759429207802831
24,1.977341614572796
24,1.9673560502392213
25,2.084426653704611
25,2.0373168178530516
25,1.9671449825853704
26,1.853694680443861
26,2.100831965337427
27,2.0989034937708455
27,1.9221659126725774
28,2.0514527794311426
28,2.2126139674128567
28,2.1715797137652793
29,1.9268106870502324
29,2.1619456482416464
30,1.9453683636424868
30,1.9794672341659423
31,2.0286256225565054
31,2.1644854941682135
32,1.9461494581595653
32,2.0994882688798815
33,1.983148206963616
33,2.109377223820883
34,2.1404681746406844
34,2.3597254547542748
35,2.1915885447838654
35,2.305957455586513
36,2.0888959237533435
37,2.1963961158005367
37,2.2464477634396847
38,1.9781542695905165
38,2.28240047772514
39,2.3470117560501773
39,2.068436922897685
40,2.1354485050851593
